Team,Season,Conference,Seed,Champion
Denver Nuggets,2022,Western,6,0
Minnesota Timberwolves,2022,Western,7,0
Los Angeles Clippers,2022,Western,8,0
Milwaukee Bucks,2023,Eastern,1,0
Boston Celtics,2023,Eastern,2,0
Philadelphia 76ers,2023,Eastern,3,0
Cleveland Cavaliers,2023,Eastern,4,0
New York Knicks,2023,Eastern,5,0
Brooklyn Nets,2023,Eastern,6,0
Miami Heat,2023,Eastern,7,0
Atlanta Hawks,2023,Eastern,8,0
Denver Nuggets,2023,Western,1,1
Memphis Grizzlies,2023,Western,2,0
Sacramento Kings,2023,Western,3,0
Phoenix Suns,2023,Western,4,0
Los Angeles Clippers,2023,Western,5,0
Golden State Warriors,2023,Western,6,0
Los Angeles Lakers,2023,Western,7,0
Minnesota Timberwolves,2023,Western,8,0
Boston Celtics,2024,Eastern,1,1
New York Knicks,2024,Eastern,2,0
Milwaukee Bucks,2024,Eastern,3,0
Cleveland Cavaliers,2024,Eastern,4,0
Orlando Magic,2024,Eastern,5,0
Indiana Pacers,2024,Eastern,6,0
Philadelphia 76ers,2024,Eastern,7,0
Miami Heat,2024,Eastern,8,0
Oklahoma City Thunder,2024,Western,1,0
Denver Nuggets,2024,Western,2,0
Minnesota Timberwolves,2024,Western,3,0
Los Angeles Clippers,2024,Western,4,0
Dallas Mavericks,2024,Western,5,0
Phoenix Suns,2024,Western,6,0
New Orleans Pelicans,2024,Western,7,0
Los Angeles Lakers,2024,Western,8,0
Cleveland Cavaliers,2025,Eastern,1,0
Boston Celtics,2025,Eastern,2,0
New York Knicks,2025,Eastern,3,0
Indiana Pacers,2025,Eastern,4,0
Milwaukee Bucks,2025,Eastern,5,0
Detroit Pistons,2025,Eastern,6,0
Orlando Magic,2025,Eastern,7,0
Atlanta Hawks,2025,Eastern,8,0
Oklahoma City Thunder,2025,Western,1,1
Houston Rockets,2025,Western,2,0
Los Angeles Lakers,2025,Western,3,0
Denver Nuggets,2025,Western,4,0
Los Angeles Clippers,2025,Western,5,0
Minnesota Timberwolves,2025,Western,6,0
Golden State Warriors,2025,Western,7,0
Memphis Grizzlies,2025,Western,8,0
